#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       377.5706        301387.7901     
200000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       39.3533         2763882.5825    
300000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5448         4271307.2490    
400000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5758         4262998.6323    
500000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5206         4277705.8268    
600000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5754         4263252.9400    
700000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5502         4269419.6799    
800000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5208         4278565.4997    
900000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5449         4271655.0818    
1000000         0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       15.5980         4257478.5803    
