#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          -844244.0108    111009.9331     -4565.5001      0.0000          0.0000          -950688.4438    -781321.6540    58999.8549      261.0000        577.3964        13536.4181      
200000          -847302.3975    119488.7978     -4394.7762      0.0000          0.0000          -962396.4191    -793669.8951    59562.1810      261.0000        555.8051        14056.9487      
300000          -832031.7659    114790.0721     -4282.0752      0.0000          0.0000          -942539.7628    -775746.8301    61421.5265      261.0000        541.5518        14436.7119      
400000          -850459.3708    125702.8061     -4202.5499      0.0000          0.0000          -971959.6270    -805527.0041    61734.6157      261.0000        531.4943        14701.3420      
500000          -810918.4991    119457.8160     -3933.7254      0.0000          0.0000          -926442.5897    -766108.5613    67793.9776      261.0000        497.4962        15708.8338      
600000          -838669.8931    120666.4957     -4272.3523      0.0000          0.0000          -955064.0364    -788380.6269    61409.0452      261.0000        540.3222        14471.8527      
700000          -856618.6412    122362.1456     -4444.7536      0.0000          0.0000          -974536.0331    -806575.6608    60121.4106      261.0000        562.1257        13900.4265      
800000          -848774.3181    117864.5291     -4570.4078      0.0000          0.0000          -962068.4394    -792256.9289    58260.0134      261.0000        578.0171        13516.2985      
900000          -862114.8952    121882.7375     -4586.7544      0.0000          0.0000          -979410.8783    -810181.6175    58839.5023      261.0000        580.0845        13481.2135      
1000000         -839485.7452    118625.2407     -4267.9374      0.0000          0.0000          -953843.0486    -787007.9442    61229.6277      261.0000        539.7638        14477.2597      
1100000         -818548.2181    117953.4554     -4075.4342      0.0000          0.0000          -932426.2393    -767895.4502    63529.3153      261.0000        515.4181        15190.0148      
1200000         -853454.6223    123704.2375     -4374.1519      0.0000          0.0000          -972784.7079    -806343.2794    61617.8647      261.0000        553.1967        14148.4048      
1300000         -872492.8661    124695.6560     -4641.9096      0.0000          0.0000          -992546.6125    -820888.9436    56401.3251      261.0000        587.0599        13308.3361      
1400000         -862951.9965    119718.7035     -4618.1183      0.0000          0.0000          -978052.5818    -808600.7326    58606.2473      261.0000        584.0510        13388.4834      
1500000         -835111.3125    120555.6824     -4199.3422      0.0000          0.0000          -951467.6528    -785914.4198    62504.8634      261.0000        531.0886        14727.3099      
