#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          9999999999      -2405.7949      -215.7692       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          108389.8827     
200000          9999999999      -2076.8803      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
300000          9999999999      -2140.6386      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
400000          9999999999      -2119.0670      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
500000          9999999999      -2116.5870      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
600000          9999999999      -2070.2414      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
700000          9999999999      -2069.6569      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
800000          9999999999      -2115.8232      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
900000          9999999999      -2147.2074      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1000000         9999999999      -2044.6337      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1100000         9999999999      -2054.3596      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1200000         9999999999      -2051.8810      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1300000         9999999999      -2127.2425      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1400000         9999999999      -2156.1556      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1500000         9999999999      -2142.7479      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1600000         9999999999      -2068.9686      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1700000         9999999999      -2063.1804      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1800000         9999999999      -2116.6288      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
1900000         9999999999      -2085.2077      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2000000         9999999999      -2014.4609      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2100000         9999999999      -2099.0035      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2200000         9999999999      -2054.1217      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2300000         9999999999      -2090.2404      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2400000         9999999999      -2062.8431      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2500000         9999999999      -2113.5048      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
2600000         9999999999      -2100.0448      -194.2995       0.0000          0.0000          9999999999      9999999999      0.0000          157.0000        0.0000          114972.6052     
